// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 2 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\tavisca_training\performance engineering\class vs struct\ClassVsStruct\ClassVsStruct\bin\Release\netcoreapp2.1\0ae8a0aa-90e3-47a1-8c32-7925efdcbd37
// command took 3.07s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\tavisca_training\performance engineering\class vs struct\ClassVsStruct\ClassVsStruct\bin\Release\netcoreapp2.1\0ae8a0aa-90e3-47a1-8c32-7925efdcbd37
// command took 14.28s and exited with 1
// start dotnet build -c Release  --no-restore --no-dependencies /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\tavisca_training\performance engineering\class vs struct\ClassVsStruct\ClassVsStruct\bin\Release\netcoreapp2.1\0ae8a0aa-90e3-47a1-8c32-7925efdcbd37
// command took 4.47s and exited with 0
// ***** Done, took 00:00:22 (22.05 sec)   *****
// Found 2 benchmarks:
//   Program.StructBenchmark: DefaultJob
//   Program.ClassBenchmark: DefaultJob

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)// **************************
// Benchmark: Program.StructBenchmark: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "0ae8a0aa-90e3-47a1-8c32-7925efdcbd37.dll" --benchmarkName "ClassVsStruct.Program.StructBenchmark" --job "Default" --benchmarkId 0 in C:\tavisca_training\performance engineering\class vs struct\ClassVsStruct\ClassVsStruct\bin\Release\netcoreapp2.1\0ae8a0aa-90e3-47a1-8c32-7925efdcbd37\bin\Release\netcoreapp2.1
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 2.1.12 (CoreCLR 4.6.27817.01, CoreFX 4.6.27818.01), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 435418.57 ns, 435.4186 us/op
WorkloadJitting  1: 1 op, 308147.98 ns, 308.1480 us/op

OverheadJitting  2: 16 op, 683395.64 ns, 42.7122 us/op
WorkloadJitting  2: 16 op, 446358.73 ns, 27.8974 us/op

WorkloadPilot    1: 16 op, 2188.03 ns, 136.7521 ns/op
WorkloadPilot    2: 32 op, 364.67 ns, 11.3960 ns/op
WorkloadPilot    3: 64 op, 729.34 ns, 11.3960 ns/op
WorkloadPilot    4: 128 op, 729.34 ns, 5.6980 ns/op
WorkloadPilot    5: 256 op, 729.34 ns, 2.8490 ns/op
WorkloadPilot    6: 512 op, 7293.44 ns, 14.2450 ns/op
WorkloadPilot    7: 1024 op, 2552.71 ns, 2.4929 ns/op
WorkloadPilot    8: 2048 op, 4740.74 ns, 2.3148 ns/op
WorkloadPilot    9: 4096 op, 8022.79 ns, 1.9587 ns/op
WorkloadPilot   10: 8192 op, 20786.31 ns, 2.5374 ns/op
WorkloadPilot   11: 16384 op, 33549.84 ns, 2.0477 ns/op
WorkloadPilot   12: 32768 op, 101378.86 ns, 3.0938 ns/op
WorkloadPilot   13: 65536 op, 184159.44 ns, 2.8101 ns/op
WorkloadPilot   14: 131072 op, 289549.70 ns, 2.2091 ns/op
WorkloadPilot   15: 262144 op, 707099.33 ns, 2.6974 ns/op
WorkloadPilot   16: 524288 op, 1317560.53 ns, 2.5130 ns/op
WorkloadPilot   17: 1048576 op, 2750357.47 ns, 2.6229 ns/op
WorkloadPilot   18: 2097152 op, 4011758.49 ns, 1.9130 ns/op
WorkloadPilot   19: 4194304 op, 8444348.66 ns, 2.0133 ns/op
WorkloadPilot   20: 8388608 op, 16868640.35 ns, 2.0109 ns/op
WorkloadPilot   21: 16777216 op, 32861702.82 ns, 1.9587 ns/op
WorkloadPilot   22: 33554432 op, 72121578.78 ns, 2.1494 ns/op
WorkloadPilot   23: 67108864 op, 133147277.59 ns, 1.9840 ns/op
WorkloadPilot   24: 134217728 op, 311818040.26 ns, 2.3232 ns/op
